ticker,sector,provider_sector,industry,market_cap,avg_adv_20d,shares_outstanding,liquidity_bucket,close_2026_03_27
AAPL,Information Technology,Technology,Consumer Electronics,3620099063808.000000,40546695.000000,14681140000.000000,high,248.800003
MSFT,Information Technology,Technology,Software - Infrastructure,2673798021120.000000,32756360.000000,7425629076.000000,high,356.769989
NVDA,Information Technology,Technology,Semiconductors,4031232081920.000000,180721205.000000,24300000000.000000,high,167.520004
AVGO,Information Technology,Technology,Semiconductors,1388766429184.000000,29606305.000000,4734668184.000000,high,300.679993
ORCL,Information Technology,Technology,Software - Infrastructure,397800308736.000000,28821560.000000,2876046000.000000,mid,139.660004
PLTR,Information Technology,Technology,Software - Infrastructure,333399556096.000000,48390440.000000,2291470751.000000,low,143.059998
LLY,Health Care,Healthcare,Drug Manufacturers - General,799462064128.000000,2778880.000000,893357420.000000,high,878.239990
UNH,Health Care,Healthcare,Healthcare Plans,236340641792.000000,8736880.000000,907675839.000000,high,259.019989
JNJ,Health Care,Healthcare,Drug Manufacturers - General,585075261440.000000,7779940.000000,2408613219.000000,mid,240.449997
ABBV,Health Care,Healthcare,Drug Manufacturers - General,376445698048.000000,7528325.000000,1768762377.000000,mid,209.399994
VRTX,Health Care,Healthcare,Biotechnology,111932719104.000000,1462480.000000,254000000.000000,mid,433.070007
MRNA,Health Care,Healthcare,Biotechnology,18909300736.000000,8843330.000000,396586862.000000,low,49.560001
JPM,Financials,Financial Services,Banks - Diversified,769031864320.000000,10972745.000000,2697032375.000000,high,282.839996
BAC,Financials,Financial Services,Banks - Diversified,339205881856.000000,44047955.000000,7145709181.000000,high,46.970001
GS,Financials,Financial Services,Capital Markets,240007839744.000000,2432855.000000,294993942.000000,mid,802.890015
SOFI,Financials,Financial Services,Credit Services,19211849728.000000,70772950.000000,1275263850.000000,low,15.230000
AFRM,Financials,Financial Services,Credit Services,14395376640.000000,5753070.000000,292409876.000000,low,42.529999
AMZN,Consumer Discretionary,Consumer Cyclical,Internet Retail,2165340897280.000000,45216310.000000,10734920870.000000,high,199.339996
TSLA,Consumer Discretionary,Consumer Cyclical,Auto Manufacturers,1341982244864.000000,60949305.000000,3752431984.000000,high,361.829987
HD,Consumer Discretionary,Consumer Cyclical,Home Improvement Retail,323235610624.000000,4257745.000000,996011466.000000,mid,321.649994
MCD,Consumer Discretionary,Consumer Cyclical,Restaurants,221402906624.000000,3217845.000000,712154350.000000,mid,305.899994
RIVN,Consumer Discretionary,Consumer Cyclical,Auto Manufacturers,17947691008.000000,30068050.000000,1237077289.000000,low,14.770000
GOOGL,Communication Services,Communication Services,Internet Content & Information,3314215288832.000000,29596190.000000,5822000000.000000,high,274.339996
META,Communication Services,Communication Services,Internet Content & Information,1356006162432.000000,14834390.000000,2187177748.000000,high,525.719971
NFLX,Communication Services,Communication Services,Entertainment,395853135872.000000,43092395.000000,4237323340.000000,mid,93.430000
SNAP,Communication Services,Communication Services,Internet Content & Information,6781142016.000000,41016960.000000,1434801757.000000,low,3.930000
ROKU,Communication Services,Communication Services,Entertainment,12980278272.000000,2916040.000000,130717715.000000,low,87.150002
UBER,Industrials,Technology,Software - Application,143286042624.000000,18281010.000000,2036824858.000000,high,69.180000
GE,Industrials,Industrials,Aerospace & Defense,288581255168.000000,5423185.000000,1044829602.000000,high,282.809998
CAT,Industrials,Industrials,Farm & Heavy Construction Machinery,312689917952.000000,2704915.000000,465287332.000000,mid,695.400024
RTX,Industrials,Industrials,Aerospace & Defense,251858698240.000000,6067595.000000,1345974220.000000,mid,189.710007
RKLB,Industrials,Industrials,Aerospace & Defense,32279719936.000000,22298720.000000,569407668.000000,low,60.930000
LIN,Materials,Basic Materials,Specialty Chemicals,231799013376.000000,2867985.000000,463394156.000000,high,491.119995
FCX,Materials,Basic Materials,Copper,78607745024.000000,19524355.000000,1437201606.000000,mid,56.240002
NEM,Materials,Basic Materials,Gold,112148946944.000000,12272690.000000,1079933130.000000,mid,102.099998
MP,Materials,Basic Materials,Other Industrial Metals & Mining,8184250880.000000,5483125.000000,177667450.000000,low,51.799999
XOM,Energy,Energy,Oil & Gas Integrated,719308390400.000000,24407250.000000,4166763453.000000,high,170.990005
CVX,Energy,Energy,Oil & Gas Integrated,423643021312.000000,15304345.000000,1981217539.000000,high,211.149994
APA,Energy,Energy,Oil & Gas E&P,15415895040.000000,10422730.000000,353251476.000000,low,44.389999
NEE,Utilities,Utilities,Utilities - Regulated Electric,192288243712.000000,9556165.000000,2083521964.000000,high,91.400002
SO,Utilities,Utilities,Utilities - Regulated Electric,109107060736.000000,5422440.000000,1119391291.000000,mid,95.550003
AES,Utilities,Utilities,Utilities - Diversified,10029351936.000000,20507455.000000,713071623.000000,low,14.000000
WMT,Consumer Staples,Consumer Defensive,Discount Stores,987142881280.000000,20902510.000000,7972402501.000000,high,122.889999
COST,Consumer Staples,Consumer Defensive,Discount Stores,444812623872.000000,1728475.000000,443652540.000000,high,983.859985
KO,Consumer Staples,Consumer Defensive,Beverages - Non-Alcoholic,330989371392.000000,16740830.000000,4304152877.000000,mid,75.709999
CELH,Consumer Staples,Consumer Defensive,Beverages - Non-Alcoholic,8675764224.000000,6966165.000000,256975993.000000,low,33.939999
AMT,Real Estate,Real Estate,REIT - Specialty,80493133824.000000,3267515.000000,466084820.000000,high,169.520004
PLD,Real Estate,Real Estate,REIT - Industrial,120378949632.000000,3518415.000000,932230676.000000,mid,128.899994
SBAC,Real Estate,Real Estate,REIT - Specialty,18097737728.000000,968935.000000,105654000.000000,low,167.059998
UPST,Stress Pool,Financial Services,Credit Services,2389263104.000000,5156850.000000,94867982.000000,low,24.770000
